authorships,doi,publication_year,type,is_oa,source_display_name,source_id,issn_l,host_organization,host_organization_name,landing_page_url,pdf_url,license,version
,https://doi.org/10.1182/blood-2025-484,2025,article,FALSE,Blood,https://openalex.org/S200071133,0006-4971,https://openalex.org/P4310320990,Elsevier BV,https://doi.org/10.1182/blood-2025-484,NA,NA,publishedVersion
,https://doi.org/10.1111/nph.70860,2026,article,TRUE,New Phytologist,https://openalex.org/S58631098,0028-646X,https://openalex.org/P4310320595,Wiley,https://doi.org/10.1111/nph.70860,NA,cc-by,publishedVersion
,https://doi.org/10.1016/j.jpowsour.2025.238924,2025,article,TRUE,Journal of Power Sources,https://openalex.org/S177147899,0378-7753,https://openalex.org/P4310320990,Elsevier BV,https://doi.org/10.1016/j.jpowsour.2025.238924,NA,cc-by,publishedVersion
,https://doi.org/10.1016/j.commatsci.2026.114491,2026,article,TRUE,Computational Materials Science,https://openalex.org/S26018076,0927-0256,https://openalex.org/P4310320990,Elsevier BV,https://doi.org/10.1016/j.commatsci.2026.114491,NA,cc-by,publishedVersion
,https://doi.org/10.1038/s41467-025-64712-4,2025,article,TRUE,Nature Communications,https://openalex.org/S64187185,2041-1723,https://openalex.org/P4310319908,Springer Nature,https://doi.org/10.1038/s41467-025-64712-4,https://www.nature.com/articles/s41467-025-64712-4.pdf,cc-by,publishedVersion
,https://doi.org/10.1186/s12933-025-02915-1,2025,article,TRUE,Cardiovascular Diabetology,https://openalex.org/S12095120,1475-2840,https://openalex.org/P4310320256,Springer Nature,https://doi.org/10.1186/s12933-025-02915-1,https://cardiab.biomedcentral.com/counter/pdf/10.1186/s12933-025-02915-1,cc-by-nc-nd,publishedVersion
,https://doi.org/10.2196/71568,2025,article,TRUE,JMIR Aging,https://openalex.org/S4210211124,2561-7605,NA,NA,https://doi.org/10.2196/71568,NA,cc-by,publishedVersion
,https://doi.org/10.1038/s41420-025-02751-y,2025,article,TRUE,Cell Death Discovery,https://openalex.org/S2764515074,2058-7716,https://openalex.org/P4310319965,Springer Nature,https://doi.org/10.1038/s41420-025-02751-y,https://www.nature.com/articles/s41420-025-02751-y.pdf,cc-by,publishedVersion
,https://doi.org/10.4103/nrr.nrr-d-25-00610,2025,article,TRUE,Neural Regeneration Research,https://openalex.org/S80372421,1673-5374,https://openalex.org/P4310320448,Wolters Kluwer,https://doi.org/10.4103/nrr.nrr-d-25-00610,NA,cc-by-nc-sa,publishedVersion
,https://doi.org/10.22331/q-2025-12-03-1928,2025,article,TRUE,Quantum,https://openalex.org/S4210226432,2521-327X,https://openalex.org/P4310317900,Verein zur Förderung des Open Access Publizierens in den Quantenwissenschaften,https://doi.org/10.22331/q-2025-12-03-1928,https://quantum-journal.org/papers/q-2025-12-03-1928/pdf/,cc-by,publishedVersion
,https://doi.org/10.1182/blood-2025-1024,2025,article,TRUE,Blood,https://openalex.org/S200071133,0006-4971,https://openalex.org/P4310320990,Elsevier BV,https://doi.org/10.1182/blood-2025-1024,https://ashpublications.org/blood/article-pdf/146/Supplement 1/1024/2464696/blood-3771-main.pdf,NA,publishedVersion
,https://doi.org/10.1149/1945-7111/ae2f9f,2025,article,TRUE,Journal of The Electrochemical Society,https://openalex.org/S138759888,0013-4651,https://openalex.org/P4310311669,Institute of Physics,https://doi.org/10.1149/1945-7111/ae2f9f,NA,cc-by,publishedVersion
,https://doi.org/10.1186/s40348-025-00214-z,2026,article,TRUE,Molecular and Cellular Pediatrics,https://openalex.org/S2764482269,2194-7791,https://openalex.org/P4310319900,Springer Nature,https://doi.org/10.1186/s40348-025-00214-z,https://link.springer.com/content/pdf/10.1186/s40348-025-00214-z.pdf,cc-by,publishedVersion
,https://doi.org/10.1038/s41598-026-40268-1,2026,article,TRUE,Scientific Reports,https://openalex.org/S196734849,2045-2322,https://openalex.org/P4310319908,Springer Nature,https://doi.org/10.1038/s41598-026-40268-1,https://www.nature.com/articles/s41598-026-40268-1_reference.pdf,cc-by-nc-nd,publishedVersion
,https://doi.org/10.1038/s42255-025-01388-6,2025,article,FALSE,Nature Metabolism,https://openalex.org/S4210232714,2522-5812,https://openalex.org/P4310319908,Springer Nature,https://doi.org/10.1038/s42255-025-01388-6,NA,NA,publishedVersion
,https://doi.org/10.1016/j.jad.2025.120450,2025,article,TRUE,Journal of Affective Disorders,https://openalex.org/S113871862,0165-0327,https://openalex.org/P4310320990,Elsevier BV,https://doi.org/10.1016/j.jad.2025.120450,NA,cc-by,publishedVersion
,https://doi.org/10.1093/evolut/qpaf223,2025,article,FALSE,Evolution,https://openalex.org/S87560609,0014-3820,https://openalex.org/P4310311648,Oxford University Press,https://doi.org/10.1093/evolut/qpaf223,NA,NA,publishedVersion
,https://doi.org/10.3390/pharmaceutics17111381,2025,article,TRUE,Pharmaceutics,https://openalex.org/S30283931,1999-4923,https://openalex.org/P4310310987,Multidisciplinary Digital Publishing Institute,https://doi.org/10.3390/pharmaceutics17111381,https://www.mdpi.com/1999-4923/17/11/1381/pdf?version=1761303095,cc-by,publishedVersion
,https://doi.org/10.1002/path.6491,2025,article,TRUE,The Journal of Pathology,https://openalex.org/S4394736614,0022-3417,NA,NA,https://doi.org/10.1002/path.6491,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/path.6491,cc-by,publishedVersion
,https://doi.org/10.2337/dc25-0824,2025,article,TRUE,Diabetes Care,https://openalex.org/S49878492,0149-5992,https://openalex.org/P4310320274,American Diabetes Association,https://doi.org/10.2337/dc25-0824,https://diabetesjournals.org/care/article-pdf/doi/10.2337/dc25-0824/848209/dc250824.pdf,NA,publishedVersion
,https://doi.org/10.1016/j.landig.2025.100923,2025,article,TRUE,The Lancet Digital Health,https://openalex.org/S4210237014,2589-7500,https://openalex.org/P4310320990,Elsevier BV,https://doi.org/10.1016/j.landig.2025.100923,NA,cc-by,publishedVersion
,https://doi.org/10.1002/advs.202514492,2025,article,TRUE,Advanced Science,https://openalex.org/S2737737698,2198-3844,https://openalex.org/P4310320595,Wiley,https://doi.org/10.1002/advs.202514492,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202514492,cc-by,publishedVersion
,https://doi.org/10.1182/blood-2025-1,2025,article,TRUE,Blood,https://openalex.org/S200071133,0006-4971,https://openalex.org/P4310320990,Elsevier BV,https://doi.org/10.1182/blood-2025-1,https://ashpublications.org/blood/article-pdf/146/Supplement 1/1/2458312/blood-2483-main.pdf,NA,publishedVersion
,https://doi.org/10.1186/s13034-025-01016-x,2025,article,TRUE,Child and Adolescent Psychiatry and Mental Health,https://openalex.org/S133884896,1753-2000,https://openalex.org/P4310320256,Springer Nature,https://doi.org/10.1186/s13034-025-01016-x,https://link.springer.com/content/pdf/10.1186/s13034-025-01016-x.pdf,cc-by,publishedVersion
,https://doi.org/10.1055/a-2566-7533,2025,article,FALSE,Diabetologie und Stoffwechsel,https://openalex.org/S26605106,1861-9002,https://openalex.org/P4310321135,Thieme Medical Publishers (Germany),https://doi.org/10.1055/a-2566-7533,NA,NA,publishedVersion
,https://doi.org/10.1021/acs.biomac.5c01956,2025,article,TRUE,Biomacromolecules,https://openalex.org/S11629336,1525-7797,https://openalex.org/P4310320006,American Chemical Society,https://doi.org/10.1021/acs.biomac.5c01956,NA,cc-by,publishedVersion
,https://doi.org/10.1038/s41408-025-01434-2,2026,article,TRUE,Blood Cancer Journal,https://openalex.org/S2496263508,2044-5385,https://openalex.org/P4310319965,Springer Nature,https://doi.org/10.1038/s41408-025-01434-2,https://www.nature.com/articles/s41408-025-01434-2_reference.pdf,cc-by-nc-nd,publishedVersion
,https://doi.org/10.1093/brain/awaf412,2025,article,FALSE,Brain,https://openalex.org/S118357697,0006-8950,https://openalex.org/P4310311648,Oxford University Press,https://doi.org/10.1093/brain/awaf412,NA,NA,publishedVersion
,https://doi.org/10.1038/s41477-025-02207-2,2026,article,FALSE,Nature Plants,https://openalex.org/S2764671299,2055-026X,https://openalex.org/P4310319908,Springer Nature,https://doi.org/10.1038/s41477-025-02207-2,NA,NA,publishedVersion
,https://doi.org/10.1182/bloodadvances.2025019253,2026,article,TRUE,Blood Advances,https://openalex.org/S2764683450,2473-9529,https://openalex.org/P4310320990,Elsevier BV,https://doi.org/10.1182/bloodadvances.2025019253,https://ashpublications.org/bloodadvances/article-pdf/doi/10.1182/bloodadvances.2025019253/2501805/bloodadvances.2025019253.pdf,cc-by-nc-nd,publishedVersion
,https://doi.org/10.3390/cancers17193215,2025,article,TRUE,Cancers,https://openalex.org/S168415115,2072-6694,https://openalex.org/P4310310987,Multidisciplinary Digital Publishing Institute,https://doi.org/10.3390/cancers17193215,https://www.mdpi.com/2072-6694/17/19/3215/pdf?version=1759392580,cc-by,publishedVersion
,https://doi.org/10.1002/advs.202504920,2025,article,TRUE,Advanced Science,https://openalex.org/S2737737698,2198-3844,https://openalex.org/P4310320595,Wiley,https://doi.org/10.1002/advs.202504920,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202504920,cc-by,publishedVersion
,https://doi.org/10.1007/s00125-025-06549-6,2025,article,TRUE,Diabetologia,https://openalex.org/S104375418,0012-186X,https://openalex.org/P4310319900,Springer Nature,https://doi.org/10.1007/s00125-025-06549-6,https://link.springer.com/content/pdf/10.1007/s00125-025-06549-6.pdf,cc-by,publishedVersion
,https://doi.org/10.1126/sciadv.adw4618,2025,article,TRUE,Science Advances,https://openalex.org/S2737427234,2375-2548,https://openalex.org/P4310315823,American Association for the Advancement of Science,https://doi.org/10.1126/sciadv.adw4618,NA,NA,publishedVersion
,https://doi.org/10.1210/jendso/bvaf149.074,2025,article,TRUE,Journal of the Endocrine Society,https://openalex.org/S2735747656,2472-1972,https://openalex.org/P4310315851,Endocrine Society,https://doi.org/10.1210/jendso/bvaf149.074,https://academic.oup.com/jes/article-pdf/9/Supplement_1/bvaf149.074/64865248/bvaf149.074.pdf,cc-by-nc-nd,publishedVersion
,https://doi.org/10.1161/circinterventions.125.015845,2025,article,FALSE,Circulation Cardiovascular Interventions,https://openalex.org/S177226689,1941-7632,https://openalex.org/P4310315671,Wolters Kluwer,https://doi.org/10.1161/circinterventions.125.015845,NA,NA,publishedVersion
,https://doi.org/10.3389/fpsyt.2025.1668821,2025,article,TRUE,Frontiers in Psychiatry,https://openalex.org/S92766711,1664-0640,https://openalex.org/P4310320527,Frontiers Media,https://doi.org/10.3389/fpsyt.2025.1668821,https://public-pages-files-2025.frontiersin.org/journals/psychiatry/articles/10.3389/fpsyt.2025.1668821/pdf,cc-by,publishedVersion
,https://doi.org/10.1039/d5tc02343b,2025,article,TRUE,Journal of Materials Chemistry C,https://openalex.org/S2500738039,2050-7526,https://openalex.org/P4310320556,Royal Society of Chemistry,https://doi.org/10.1039/d5tc02343b,https://pubs.rsc.org/en/content/articlepdf/2025/tc/d5tc02343b,cc-by,publishedVersion
,https://doi.org/10.1093/ije/dyaf187,2025,article,FALSE,International Journal of Epidemiology,https://openalex.org/S13389975,0300-5771,https://openalex.org/P4310311648,Oxford University Press,https://doi.org/10.1093/ije/dyaf187,NA,NA,publishedVersion
,https://doi.org/10.1007/s42484-025-00327-8,2025,article,TRUE,Quantum Machine Intelligence,https://openalex.org/S4210217596,2524-4906,https://openalex.org/P4310319900,Springer Nature,https://doi.org/10.1007/s42484-025-00327-8,https://link.springer.com/content/pdf/10.1007/s42484-025-00327-8.pdf,cc-by,publishedVersion
,https://doi.org/10.1177/19322968251383911,2025,review,TRUE,Journal of Diabetes Science and Technology,https://openalex.org/S2754852731,1932-2968,https://openalex.org/P4310320017,SAGE Publishing,https://doi.org/10.1177/19322968251383911,NA,cc-by,publishedVersion
,https://doi.org/10.1097/js9.0000000000003909,2025,article,TRUE,International Journal of Surgery,https://openalex.org/S67965910,1743-9159,https://openalex.org/P4310318547,Wolters Kluwer,https://doi.org/10.1097/js9.0000000000003909,NA,cc-by-nc-sa,publishedVersion
,https://doi.org/10.1016/j.jechem.2025.10.052,2025,article,TRUE,Journal of Energy Chemistry,https://openalex.org/S2500128275,2095-4956,https://openalex.org/P4310320990,Elsevier BV,https://doi.org/10.1016/j.jechem.2025.10.052,NA,cc-by,publishedVersion
,https://doi.org/10.1186/s42466-025-00431-x,2025,article,TRUE,Neurological Research and Practice,https://openalex.org/S4210211355,2524-3489,https://openalex.org/P4310320256,Springer Nature,https://doi.org/10.1186/s42466-025-00431-x,https://neurolrespract.biomedcentral.com/counter/pdf/10.1186/s42466-025-00431-x,cc-by,publishedVersion
,https://doi.org/10.1159/000549499,2025,article,TRUE,Obesity Facts,https://openalex.org/S44372797,1662-4025,https://openalex.org/P4310317820,Karger Publishers,https://doi.org/10.1159/000549499,NA,cc-by-nc,publishedVersion
,https://doi.org/10.1007/s00210-025-04744-1,2025,article,TRUE,Naunyn-Schmiedeberg s Archives of Pharmacology,https://openalex.org/S159534381,0028-1298,https://openalex.org/P4310319900,Springer Nature,https://doi.org/10.1007/s00210-025-04744-1,https://link.springer.com/content/pdf/10.1007/s00210-025-04744-1.pdf,cc-by,publishedVersion
,https://doi.org/10.1002/adfm.202523339,2025,article,TRUE,Advanced Functional Materials,https://openalex.org/S135204980,1616-301X,https://openalex.org/P4310320595,Wiley,https://doi.org/10.1002/adfm.202523339,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202523339,cc-by,publishedVersion
,https://doi.org/10.1002/anie.202520990,2025,article,TRUE,Angewandte Chemie International Edition,https://openalex.org/S67393510,1433-7851,https://openalex.org/P4310320595,Wiley,https://doi.org/10.1002/anie.202520990,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202520990,cc-by,publishedVersion
,https://doi.org/10.1016/j.ero.2025.10.005,2025,article,TRUE,EULAR Rheumatology Open,https://openalex.org/S5407047460,3050-7081,NA,NA,https://doi.org/10.1016/j.ero.2025.10.005,https://ero.eular.org/article/S3050-7081(25)00095-3/pdf,cc-by-nc-nd,publishedVersion
,https://doi.org/10.1136/archdischild-2025-329407,2025,article,FALSE,Archives of Disease in Childhood Fetal & Neonatal,https://openalex.org/S35570472,1359-2998,https://openalex.org/P4310319945,BMJ,https://doi.org/10.1136/archdischild-2025-329407,NA,NA,publishedVersion
,https://doi.org/10.2337/db25-0629,2025,article,FALSE,Diabetes,https://openalex.org/S129060628,0012-1797,https://openalex.org/P4310320274,American Diabetes Association,https://doi.org/10.2337/db25-0629,NA,NA,publishedVersion
,https://doi.org/10.1186/s13024-025-00913-1,2025,article,TRUE,Molecular Neurodegeneration,https://openalex.org/S40861184,1750-1326,https://openalex.org/P4310320256,Springer Nature,https://doi.org/10.1186/s13024-025-00913-1,https://link.springer.com/content/pdf/10.1186/s13024-025-00913-1.pdf,cc-by,publishedVersion
,https://doi.org/10.1182/blood-2025-165,2025,article,TRUE,Blood,https://openalex.org/S200071133,0006-4971,https://openalex.org/P4310320990,Elsevier BV,https://doi.org/10.1182/blood-2025-165,https://ashpublications.org/blood/article-pdf/146/Supplement 1/165/2457818/blood-2740-main.pdf,NA,publishedVersion
,https://doi.org/10.1182/blood-2025-1654,2025,article,FALSE,Blood,https://openalex.org/S200071133,0006-4971,https://openalex.org/P4310320990,Elsevier BV,https://doi.org/10.1182/blood-2025-1654,NA,NA,publishedVersion
,https://doi.org/10.1182/blood-2025-5200,2025,article,FALSE,Blood,https://openalex.org/S200071133,0006-4971,https://openalex.org/P4310320990,Elsevier BV,https://doi.org/10.1182/blood-2025-5200,NA,NA,publishedVersion
,https://doi.org/10.1182/blood-2025-903,2025,article,TRUE,Blood,https://openalex.org/S200071133,0006-4971,https://openalex.org/P4310320990,Elsevier BV,https://doi.org/10.1182/blood-2025-903,https://ashpublications.org/blood/article-pdf/146/Supplement 1/903/2458144/blood-3478-main.pdf,NA,publishedVersion
,https://doi.org/10.1007/s00415-025-13555-6,2025,article,TRUE,Journal of Neurology,https://openalex.org/S175814247,0340-5354,https://openalex.org/P4310319900,Springer Nature,https://doi.org/10.1007/s00415-025-13555-6,https://link.springer.com/content/pdf/10.1007/s00415-025-13555-6.pdf,cc-by,publishedVersion
,https://doi.org/10.1111/ijsa.70037,2025,article,TRUE,International Journal of Selection and Assessment,https://openalex.org/S148368070,0965-075X,https://openalex.org/P4310320595,Wiley,https://doi.org/10.1111/ijsa.70037,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ijsa.70037,cc-by,publishedVersion
,https://doi.org/10.1016/j.comppsych.2025.152653,2025,article,TRUE,Comprehensive Psychiatry,https://openalex.org/S110368005,0010-440X,https://openalex.org/P4310320990,Elsevier BV,https://doi.org/10.1016/j.comppsych.2025.152653,NA,cc-by-nc-nd,publishedVersion
,https://doi.org/10.1182/blood-2025-2137,2025,article,TRUE,Blood,https://openalex.org/S200071133,0006-4971,https://openalex.org/P4310320990,Elsevier BV,https://doi.org/10.1182/blood-2025-2137,https://ashpublications.org/blood/article-pdf/146/Supplement 1/2137/2445525/blood-4884-main.pdf,NA,publishedVersion
,https://doi.org/10.1098/rspb.2025.1981,2025,article,TRUE,Proceedings of the Royal Society B Biological Sciences,https://openalex.org/S3006207977,0962-8452,https://openalex.org/P4310319787,Royal Society,https://doi.org/10.1098/rspb.2025.1981,NA,cc-by,publishedVersion
,https://doi.org/10.1186/s12889-025-26066-w,2025,article,TRUE,BMC Public Health,https://openalex.org/S200437886,1471-2458,https://openalex.org/P4310320256,Springer Nature,https://doi.org/10.1186/s12889-025-26066-w,NA,cc-by,publishedVersion
,https://doi.org/10.3390/pharmaceutics18010072,2026,article,TRUE,Pharmaceutics,https://openalex.org/S30283931,1999-4923,https://openalex.org/P4310310987,Multidisciplinary Digital Publishing Institute,https://doi.org/10.3390/pharmaceutics18010072,https://www.mdpi.com/1999-4923/18/1/72/pdf?version=1767615214,cc-by,publishedVersion
,https://doi.org/10.1002/aenm.202504456,2026,article,TRUE,Advanced Energy Materials,https://openalex.org/S2502627819,1614-6832,https://openalex.org/P4310320595,Wiley,https://doi.org/10.1002/aenm.202504456,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202504456,cc-by,publishedVersion
,https://doi.org/10.1016/j.actbio.2026.01.019,2026,article,TRUE,Acta Biomaterialia,https://openalex.org/S173145877,1742-7061,https://openalex.org/P4310320990,Elsevier BV,https://doi.org/10.1016/j.actbio.2026.01.019,NA,cc-by,publishedVersion
,https://doi.org/10.1007/s11031-026-10197-7,2026,article,TRUE,Motivation and Emotion,https://openalex.org/S19400212,0146-7239,https://openalex.org/P4310319900,Springer Nature,https://doi.org/10.1007/s11031-026-10197-7,https://link.springer.com/content/pdf/10.1007/s11031-026-10197-7.pdf,cc-by,publishedVersion
,https://doi.org/10.1038/s44321-026-00372-1,2026,article,TRUE,EMBO Molecular Medicine,https://openalex.org/S163075119,1757-4676,https://openalex.org/P4310319965,Springer Nature,https://doi.org/10.1038/s44321-026-00372-1,https://link.springer.com/content/pdf/10.1038/s44321-026-00372-1.pdf,cc-by,publishedVersion
,https://doi.org/10.1186/s12943-025-02541-1,2026,article,TRUE,Molecular Cancer,https://openalex.org/S132829192,1476-4598,https://openalex.org/P4310320256,Springer Nature,https://doi.org/10.1186/s12943-025-02541-1,NA,cc-by,publishedVersion
,https://doi.org/10.1016/j.cub.2026.01.007,2026,article,TRUE,Current Biology,https://openalex.org/S128425624,0960-9822,https://openalex.org/P4310320990,Elsevier BV,https://doi.org/10.1016/j.cub.2026.01.007,NA,cc-by,publishedVersion
,https://doi.org/10.1149/1945-7111/ae46e4,2026,article,TRUE,Journal of The Electrochemical Society,https://openalex.org/S138759888,0013-4651,https://openalex.org/P4310311669,Institute of Physics,https://doi.org/10.1149/1945-7111/ae46e4,NA,cc-by,publishedVersion
,https://doi.org/10.1109/access.2026.3672716,2026,article,TRUE,IEEE Access,https://openalex.org/S2485537415,2169-3536,https://openalex.org/P4310319808,Institute of Electrical and Electronics Engineers,https://doi.org/10.1109/access.2026.3672716,NA,cc-by,publishedVersion
,https://doi.org/10.1103/6bty-836h,2025,article,TRUE,Physical Review Research,https://openalex.org/S4210240247,2643-1564,https://openalex.org/P4310320261,American Physical Society,https://doi.org/10.1103/6bty-836h,NA,cc-by,publishedVersion
,https://doi.org/10.1002/alz.70695,2025,article,TRUE,Alzheimer s & Dementia,https://openalex.org/S108427512,1552-5260,https://openalex.org/P4310320595,Wiley,https://doi.org/10.1002/alz.70695,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/alz.70695,cc-by,publishedVersion
,https://doi.org/10.1145/3736130.3762691,2025,article,TRUE,NA,NA,NA,NA,NA,https://doi.org/10.1145/3736130.3762691,NA,cc-by,publishedVersion
,https://doi.org/10.1007/s00018-025-05898-0,2025,article,TRUE,Cellular and Molecular Life Sciences,https://openalex.org/S60362788,1420-682X,https://openalex.org/P4310319965,Springer Nature,https://doi.org/10.1007/s00018-025-05898-0,https://link.springer.com/content/pdf/10.1007/s00018-025-05898-0.pdf,cc-by,publishedVersion
,https://doi.org/10.1038/s41537-025-00689-9,2025,article,TRUE,Schizophrenia,https://openalex.org/S4387281388,2754-6993,NA,NA,https://doi.org/10.1038/s41537-025-00689-9,https://www.nature.com/articles/s41537-025-00689-9.pdf,cc-by,publishedVersion
,https://doi.org/10.1038/s41380-025-03333-1,2025,article,TRUE,Molecular Psychiatry,https://openalex.org/S71149355,1359-4184,https://openalex.org/P4310319965,Springer Nature,https://doi.org/10.1038/s41380-025-03333-1,https://www.nature.com/articles/s41380-025-03333-1.pdf,cc-by,publishedVersion
,https://doi.org/10.1192/bjp.2025.10424,2025,article,TRUE,The British Journal of Psychiatry,https://openalex.org/S127936299,0007-1250,https://openalex.org/P4310311721,Cambridge University Press,https://doi.org/10.1192/bjp.2025.10424,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/8239BD8F4E399515084146F698BADC64/S0007125025104248a.pdf/div-class-title-economic-evaluation-of-different-haematological-monitoring-schemes-for-patients-with-treatment-resistant-schizophrenia-using-clozapine-div.pdf,cc-by,publishedVersion
